_id,Fecha,BML - AmA(c)rica,BML - Asia,BML - Europa,BML - Total,COMEX - Total,SHFE - Total
1,02-01-2017,"100,400","197,750","24,075","322,225","80,112","146,598"
2,03-01-2017,"98,875","190,200","22,750","311,825","80,651","146,598"
3,04-01-2017,"98,875","185,100","21,900","305,875","81,407","146,598"
4,05-01-2017,"99,675","180,200","21,900","301,775","81,994","171,561"
5,06-01-2017,"98,100","175,225","21,800","295,125","82,839","171,561"
6,09-01-2017,"98,050","175,425","21,425","294,900","83,112","171,561"
7,10-01-2017,"98,375","172,650","22,375","293,400","84,051","171,561"
8,11-01-2017,"97,775","168,025","22,425","288,225","84,742","171,561"
9,12-01-2017,"98,700","164,475","22,525","285,700","85,146","170,797"
10,13-01-2017,"97,300","161,650","22,750","281,700","85,795","170,797"
11,16-01-2017,"96,175","159,825","23,000","279,000","85,795","170,797"
12,17-01-2017,"98,300","155,975","23,100","277,375","86,067","170,797"
13,18-01-2017,"98,250","154,500","23,300","276,050","87,122","170,797"
14,19-01-2017,"98,100","152,475","23,525","274,100","87,485","172,979"
15,20-01-2017,"96,850","154,775","23,775","275,400","88,047","172,979"
16,23-01-2017,"96,500","154,250","23,900","274,650","88,489","172,979"
17,24-01-2017,"95,675","152,275","24,200","272,150","89,142","172,979"
18,25-01-2017,"97,225","149,675","24,125","271,025","89,505","172,979"
19,26-01-2017,"96,750","147,950","24,275","268,975","90,163","212,925"
20,27-01-2017,"95,800","143,650","24,325","263,775","90,719","212,925"
21,30-01-2017,"95,000","143,025","24,125","262,150","91,054","212,925"
22,31-01-2017,"94,175","143,025","24,125","261,325","92,598","212,925"
23,01-02-2017,"95,725","143,025","22,100","260,850","93,232","212,925"
24,02-02-2017,"95,300","141,525","22,675","259,500","93,766","223,853"
25,03-02-2017,"94,225","140,525","22,400","257,150","95,065","223,853"
26,06-02-2017,"92,850","139,425","21,450","253,725","95,879","223,853"
27,07-02-2017,"92,600","138,050","22,800","253,450","96,730","223,853"
28,08-02-2017,"92,575","137,725","24,425","254,725","97,287","223,853"
29,09-02-2017,"92,125","135,175","24,225","251,525","98,401","277,659"
30,10-02-2017,"91,375","132,900","23,925","248,200","99,081","277,659"
31,13-02-2017,"90,950","131,425","25,450","247,825","99,750","277,659"
32,14-02-2017,"90,075","128,100","25,175","243,350","101,496","277,659"
33,15-02-2017,"88,375","122,925","24,525","235,825","103,121","277,659"
34,16-02-2017,"90,475","121,900","24,350","236,725","104,448","295,730"
35,17-02-2017,"89,050","116,650","23,375","229,075","104,891","295,730"
36,20-02-2017,"88,250","112,500","23,275","224,025","104,891","295,730"
37,21-02-2017,"87,150","111,000","23,275","221,425","107,293","295,730"
38,22-02-2017,"86,425","109,850","23,150","219,425","109,877","295,730"
39,23-02-2017,"85,325","106,350","22,350","214,025","110,958","289,899"
40,24-02-2017,"83,450","105,250","22,100","210,800","111,976","289,899"
41,27-02-2017,"81,900","103,250","21,725","206,875","112,557","289,899"
42,28-02-2017,"80,225","101,500","21,375","203,100","114,168","289,899"
43,01-03-2017,"79,575","99,875","21,275","200,725","114,522","289,899"
44,02-03-2017,"79,300","99,575","21,125","200,000","114,968","313,873"
45,03-03-2017,"77,975","99,875","18,575","196,425","115,989","313,873"
46,06-03-2017,"79,550","135,425","20,275","235,250","116,404","313,873"
47,07-03-2017,"77,575","161,175","23,225","261,975","117,463","313,873"
48,08-03-2017,"76,275","185,075","27,175","288,525","118,655","313,873"
49,09-03-2017,"74,350","220,725","32,225","327,300","120,400","326,732"
50,10-03-2017,"72,675","220,725","32,100","325,500","121,153","326,732"
51,13-03-2017,"74,925","224,425","31,850","331,200","121,536","326,732"
52,14-03-2017,"73,900","224,375","33,775","332,050","121,906","326,732"
53,15-03-2017,"73,050","231,825","35,650","340,525","122,471","326,732"
54,16-03-2017,"72,350","231,375","35,300","339,025","123,093","325,278"
55,17-03-2017,"71,525","231,225","34,850","337,600","123,649","325,278"
56,20-03-2017,"70,700","228,100","34,175","332,975","124,133","325,278"
57,21-03-2017,"69,900","226,475","33,475","329,850","125,084","325,278"
58,22-03-2017,"69,200","221,375","33,400","323,975","125,850","325,278"
59,23-03-2017,"68,525","216,250","32,325","317,100","126,238","312,584"
60,24-03-2017,"69,850","210,550","32,125","312,525","126,841","312,584"
61,27-03-2017,"74,075","205,450","31,850","311,375","127,499","312,584"
62,28-03-2017,"73,550","203,825","31,850","309,225","127,855","312,584"
63,29-03-2017,"72,300","200,250","31,725","304,275","128,042","312,584"
64,30-03-2017,"70,150","196,125","31,275","297,550","129,400","307,376"
